Date,Total,Change,Change in
2/9/2020,910,97,12%
2/8/2020,813,89,12%
2/7/2020,724,86,13%
2/6/2020,638,73,13%
2/5/2020,565,73,15%
2/4/2020,492,66,15%
2/3/2020,426,64,18%
2/2/2020,362,58,19%
2/1/2020,304,45,17%
1/31/2020,259,46,22%
1/30/2020,213,43,25%
1/29/2020,170,38,29%
1/28/2020,132,26,25%
1/27/2020,106,26,33%
1/26/2020,80,24,43%
1/25/2020,56,15,37%
1/24/2020,41,16,64%
1/23/2020,25,8,47%
