Date,Daily,Change,Change in
2/11/2020,97,-11,-10%
2/10/2020,108,11,11%
2/9/2020,97,8,9%
2/8/2020,89,3,3%
2/7/2020,86,13,18%
2/6/2020,73,0,0%
2/5/2020,73,7,11%
2/4/2020,66,2,3%
2/3/2020,64,6,10%
2/2/2020,58,13,29%
2/1/2020,45,-1,-2%
1/31/2020,46,3,7%
1/30/2020,43,5,13%
1/29/2020,38,12,46%
1/28/2020,26,0,0%
1/27/2020,26,2,8%
1/26/2020,24,9,60%
1/25/2020,15,-1,-6%
1/24/2020,16,8,100%
1/23/2020,8,0,0%
